sample_id	PC1	PC2	PC3	PC4	PC5	run_clean	age_group	bam_path	run_key	age_group_clean	geo_accession_exp	biosample	experiment	age_group_geo	sample_name_geo	source_name	developmental_stage	gsm_id	ogv_id	cell	predicted_configuration
SRR12212429	-6.407016353398086	3.7139034208287085	-4.122668787020981	12.095960908200148	5.627390307259035	SRR12212429	old	/home/margaret/Documents/mouse_oocyte_project/star/SRR12212429.Aligned.sortedByCoord.out.bam	SRR12212429	old	GSM4669723	SAMN15520634	SRX8723033	old	GSM4669723	germinal vesicle (GV) oocyte	germinal vesicle (GV)	GSM4669723	oGV_31A	oGV_31A	SN
SRR12212430	-23.096905611400427	4.699037773540164	6.272882627252822	8.084918695268806	-18.1671451091312	SRR12212430	old	/home/margaret/Documents/mouse_oocyte_project/star/SRR12212430.Aligned.sortedByCoord.out.bam	SRR12212430	old	GSM4669724	SAMN15520633	SRX8723034	old	GSM4669724	germinal vesicle (GV) oocyte	germinal vesicle (GV)	GSM4669724	oGV_31	oGV_31	SN
SRR12212431	-0.6087681665356593	-3.9496162965227684	25.932570538317627	-11.32011643273943	8.335706510213958	SRR12212431	old	/home/margaret/Documents/mouse_oocyte_project/star/SRR12212431.Aligned.sortedByCoord.out.bam	SRR12212431	old	GSM4669725	SAMN15520621	SRX8723035	old	GSM4669725	germinal vesicle (GV) oocyte	germinal vesicle (GV)	GSM4669725	oGV_41A	oGV_41A	SN
SRR12212432	21.0174696085348	-3.4414450934055476	4.815455399069861	4.820278951899681	-2.347613257073368	SRR12212432	old	/home/margaret/Documents/mouse_oocyte_project/star/SRR12212432.Aligned.sortedByCoord.out.bam	SRR12212432	old	GSM4669726	SAMN15520619	SRX8723036	old	GSM4669726	germinal vesicle (GV) oocyte	germinal vesicle (GV)	GSM4669726	oGV_41	oGV_41	NSN
SRR12212433	-4.058001298618967	-9.044446249320576	32.220302388559944	-6.269506366709722	15.025794310452712	SRR12212433	old	/home/margaret/Documents/mouse_oocyte_project/star/SRR12212433.Aligned.sortedByCoord.out.bam	SRR12212433	old	GSM4669727	SAMN15520618	SRX8723037	old	GSM4669727	germinal vesicle (GV) oocyte	germinal vesicle (GV)	GSM4669727	oGV_42A	oGV_42A	SN
SRR12212434	-6.197723123086931	-5.2016488640811325	6.0955739764441965	6.150424667640759	7.0364948807991246	SRR12212434	old	/home/margaret/Documents/mouse_oocyte_project/star/SRR12212434.Aligned.sortedByCoord.out.bam	SRR12212434	old	GSM4669728	SAMN15520617	SRX8723038	old	GSM4669728	germinal vesicle (GV) oocyte	germinal vesicle (GV)	GSM4669728	oGV_42	oGV_42	SN
SRR12212435	-14.799562292753029	-9.018418871843952	3.734189136835045	-0.8406114701740304	-3.9754587372526977	SRR12212435	old	/home/margaret/Documents/mouse_oocyte_project/star/SRR12212435.Aligned.sortedByCoord.out.bam	SRR12212435	old	GSM4669729	SAMN15520616	SRX8723039	old	GSM4669729	germinal vesicle (GV) oocyte	germinal vesicle (GV)	GSM4669729	oGV_43A	oGV_43A	SN
SRR12212436	-1.1553962522936183	-6.24985579906657	0.20668081493771262	-0.8479826726457064	4.780049715688856	SRR12212436	old	/home/margaret/Documents/mouse_oocyte_project/star/SRR12212436.Aligned.sortedByCoord.out.bam	SRR12212436	old	GSM4669730	SAMN15520615	SRX8723040	old	GSM4669730	germinal vesicle (GV) oocyte	germinal vesicle (GV)	GSM4669730	oGV_43	oGV_43	SN
SRR12212437	-15.633291104749967	-14.76227442705038	1.6491066740228886	0.5926695825304069	-5.8219326219696255	SRR12212437	old	/home/margaret/Documents/mouse_oocyte_project/star/SRR12212437.Aligned.sortedByCoord.out.bam	SRR12212437	old	GSM4669731	SAMN15520614	SRX8723041	old	GSM4669731	germinal vesicle (GV) oocyte	germinal vesicle (GV)	GSM4669731	oGV_44A	oGV_44A	SN
SRR12212438	5.585290970858348	-1.906682088544171	-0.6895236206836087	6.146618162821311	3.3572797408923507	SRR12212438	old	/home/margaret/Documents/mouse_oocyte_project/star/SRR12212438.Aligned.sortedByCoord.out.bam	SRR12212438	old	GSM4669732	SAMN15520613	SRX8723042	old	GSM4669732	germinal vesicle (GV) oocyte	germinal vesicle (GV)	GSM4669732	oGV_44	oGV_44	SN
