gene_id	mean_young_vst	mean_old_vst	var_young	var_old	sd_young	sd_old	log2_var_ratio_old_vs_young	bf_statistic	pvalue	padj	subset	n_young	n_old
ENSMUSG00000052544	6.395825982240512	5.807489256732585	0.10932170280002405	0.13583254214409216	0.3306383262721127	0.3685546664256093	0.313249292931869	0.38277716477420043	0.54387155814064	0.9973921164102189	sn_only	12	8
ENSMUSG00000005493	7.668722764538196	7.814084286350473	0.02878121098952062	0.08309269019868866	0.16965026080003714	0.2882580271192611	1.5295939429172214	2.6913268855147825	0.11825353459047193	0.9973921164102189	sn_only	12	8
ENSMUSG00000038975	6.406641725267768	6.481280706454061	0.023055826335117255	0.02401524086063204	0.15184145130733326	0.1549685157076496	0.05881887938413637	0.0010264307003254567	0.9747943625238902	0.9988870653342784	sn_only	12	8
ENSMUSG00000062908	7.029759613970988	6.889971568277707	0.03929115866504182	0.06363209808336695	0.19821997544405515	0.25225403482078723	0.6955498382367141	0.6698430940740256	0.423809502251836	0.9973921164102189	sn_only	12	8
ENSMUSG00000028360	6.117536751081334	6.052339090030283	0.07292774501279635	0.11215578581504514	0.27005137476561075	0.33489667931325495	0.6209642873587462	0.2536733960141782	0.6206085735980484	0.9973921164102189	sn_only	12	8
ENSMUSG00000096225	8.943886837416601	8.862215645852913	0.015868975045520126	0.010537754724776274	0.12597212011203163	0.10265356654679014	-0.5906409843649884	0.8924497406448314	0.35732354186142123	0.9973921164102189	sn_only	12	8
ENSMUSG00000047583	5.219389189655186	5.500356286383247	0.08508275702119118	0.059293992263695756	0.2916894873340333	0.24350357751724255	-0.5209807727542591	0.8526169378740763	0.36802605881080797	0.9973921164102189	sn_only	12	8
ENSMUSG00000028199	4.9337311461996975	5.1836179647424165	0.10836158957807368	0.03597802435420572	0.3291832158207245	0.18967873985822903	-1.5906653223527654	1.6960614626616284	0.20922214652080878	0.9973921164102189	sn_only	12	8
ENSMUSG00000053870	7.789071912654605	7.986066998156046	0.04143688765280299	0.0466532646920504	0.20356052577256473	0.21599366817582966	0.1710623567978788	0.0171367879497918	0.8973004279864344	0.9973921164102189	sn_only	12	8
ENSMUSG00000028182	6.746557153692827	6.701482342600621	0.02766791381033964	0.03765715849136042	0.16633674822581943	0.1940545245320511	0.4447101364911419	0.9257476119975917	0.3487186964194161	0.9973921164102189	sn_only	12	8
ENSMUSG00000104826	6.983910028934746	7.127316187391634	0.09796890122544187	0.035572427396350095	0.31299984221312616	0.18860654123425863	-1.4615641768645458	2.2785499130540376	0.14852845334912057	0.9973921164102189	sn_only	12	8
ENSMUSG00000105834	4.987506670399092	4.879791237480707	0.1036818404202144	0.0489085549196815	0.3219966465977781	0.221152786371055	-1.0840043327877766	0.40273993622231	0.5336614693992703	0.9973921164102189	sn_only	12	8
ENSMUSG00000028180	7.322424351588533	7.361391509193776	0.01852496033893872	0.06373656323452646	0.13610643018953483	0.2524610132961651	1.7826502228354228	2.9223298236052897	0.10454486348253993	0.9973921164102189	sn_only	12	8
ENSMUSG00000040016	6.349406393118417	6.534752703478027	0.09546088594368154	0.03428894935772421	0.3089674512690318	0.18517275544130193	-1.47716575649266	1.3998068266288792	0.2521475011729889	0.9973921164102189	sn_only	12	8
ENSMUSG00000028179	6.535104298942616	6.297852912931633	0.1175314954421872	0.04515481127919353	0.34282866776596616	0.21249661474760848	-1.3800955960596146	2.1670736922276257	0.15826360828401564	0.9973921164102189	sn_only	12	8
ENSMUSG00000039988	7.90900659149812	7.892798979779277	0.08822667159715383	0.007020180149001914	0.2970297486736873	0.08378651531721507	-3.6516330099423686	2.006060147291758	0.17374518733282068	0.9973921164102189	sn_only	12	8
ENSMUSG00000055436	6.9275911066164575	7.060443590777201	0.04453410195557302	0.021043329730306044	0.21103104500421976	0.14506319219673214	-1.0815471369391825	1.683479546420982	0.21084589630905523	0.9973921164102189	sn_only	12	8
ENSMUSG00000063052	8.81462426995423	8.686724600225673	0.06761213147453372	0.023838125388505303	0.26002332871212486	0.15439600185401597	-1.5040109491923261	0.8331618001082978	0.3734240370378963	0.9973921164102189	sn_only	12	8
ENSMUSG00000028175	4.723811847453946	4.545605672207061	0.06504903479774214	0.1404920379549748	0.25504712270037894	0.3748226753479234	1.1108886970267462	5.038185276174125	0.03760139301282583	0.9973921164102189	sn_only	12	8
ENSMUSG00000028173	6.485040706480914	6.173426229404684	0.2814171897067553	0.15737452555345363	0.5304876904384825	0.39670458221887683	-0.838508385919552	1.9132866577806174	0.1835164748227467	0.9973921164102189	sn_only	12	8
ENSMUSG00000028232	6.563123296797049	6.838572366696143	0.04729502701042847	0.121129501815031	0.2174741984935879	0.34803663861011963	1.3567896991160366	2.2009037503300357	0.1552290605342854	0.9973921164102189	sn_only	12	8
