bam_path	sample_id	age_group
/home/margaret/Documents/mouse_oocyte_project/star/SRR12212480.Aligned.sortedByCoord.out.bam	SRR12212480	young
/home/margaret/Documents/mouse_oocyte_project/star/SRR12212481.Aligned.sortedByCoord.out.bam	SRR12212481	young
/home/margaret/Documents/mouse_oocyte_project/star/SRR12212482.Aligned.sortedByCoord.out.bam	SRR12212482	young
/home/margaret/Documents/mouse_oocyte_project/star/SRR12212483.Aligned.sortedByCoord.out.bam	SRR12212483	young
/home/margaret/Documents/mouse_oocyte_project/star/SRR12212484.Aligned.sortedByCoord.out.bam	SRR12212484	young
/home/margaret/Documents/mouse_oocyte_project/star/SRR12212485.Aligned.sortedByCoord.out.bam	SRR12212485	young
/home/margaret/Documents/mouse_oocyte_project/star/SRR12212486.Aligned.sortedByCoord.out.bam	SRR12212486	young
/home/margaret/Documents/mouse_oocyte_project/star/SRR12212487.Aligned.sortedByCoord.out.bam	SRR12212487	young
/home/margaret/Documents/mouse_oocyte_project/star/SRR12212488.Aligned.sortedByCoord.out.bam	SRR12212488	young
/home/margaret/Documents/mouse_oocyte_project/star/SRR12212489.Aligned.sortedByCoord.out.bam	SRR12212489	young
/home/margaret/Documents/mouse_oocyte_project/star/SRR12212490.Aligned.sortedByCoord.out.bam	SRR12212490	young
