run_clean	age_group	bam_path	run_key	age_group_clean	geo_accession_exp	biosample	experiment	age_group_geo	sample_name_geo	source_name	developmental_stage	gsm_id	ogv_id	cell	predicted_configuration
SRR12212414	old	/home/margaret/Documents/mouse_oocyte_project/star/SRR12212414.Aligned.sortedByCoord.out.bam	SRR12212414	old	GSM4669708	SAMN15520647	SRX8723018	old	GSM4669708	germinal vesicle (GV) oocyte	germinal vesicle (GV)	GSM4669708	oGV_15	oGV_15	SN
SRR12212415	old	/home/margaret/Documents/mouse_oocyte_project/star/SRR12212415.Aligned.sortedByCoord.out.bam	SRR12212415	old	GSM4669709	SAMN15520646	SRX8723019	old	GSM4669709	germinal vesicle (GV) oocyte	germinal vesicle (GV)	GSM4669709	oGV_16A	oGV_16A	NSN
SRR12212416	old	/home/margaret/Documents/mouse_oocyte_project/star/SRR12212416.Aligned.sortedByCoord.out.bam	SRR12212416	old	GSM4669710	SAMN15520645	SRX8723020	old	GSM4669710	germinal vesicle (GV) oocyte	germinal vesicle (GV)	GSM4669710	oGV_16	oGV_16	NSN
SRR12212417	old	/home/margaret/Documents/mouse_oocyte_project/star/SRR12212417.Aligned.sortedByCoord.out.bam	SRR12212417	old	GSM4669711	SAMN15520644	SRX8723021	old	GSM4669711	germinal vesicle (GV) oocyte	germinal vesicle (GV)	GSM4669711	oGV_25A	oGV_25A	NSN
SRR12212418	old	/home/margaret/Documents/mouse_oocyte_project/star/SRR12212418.Aligned.sortedByCoord.out.bam	SRR12212418	old	GSM4669712	SAMN15520602	SRX8723022	old	GSM4669712	germinal vesicle (GV) oocyte	germinal vesicle (GV)	GSM4669712	oGV_25	oGV_25	NSN
SRR12212419	old	/home/margaret/Documents/mouse_oocyte_project/star/SRR12212419.Aligned.sortedByCoord.out.bam	SRR12212419	old	GSM4669713	SAMN15520601	SRX8723023	old	GSM4669713	germinal vesicle (GV) oocyte	germinal vesicle (GV)	GSM4669713	oGV_26A	oGV_26A	SN
SRR12212420	old	/home/margaret/Documents/mouse_oocyte_project/star/SRR12212420.Aligned.sortedByCoord.out.bam	SRR12212420	old	GSM4669714	SAMN15520643	SRX8723024	old	GSM4669714	germinal vesicle (GV) oocyte	germinal vesicle (GV)	GSM4669714	oGV_26	oGV_26	NSN
SRR12212421	old	/home/margaret/Documents/mouse_oocyte_project/star/SRR12212421.Aligned.sortedByCoord.out.bam	SRR12212421	old	GSM4669715	SAMN15520642	SRX8723025	old	GSM4669715	germinal vesicle (GV) oocyte	germinal vesicle (GV)	GSM4669715	oGV_27A	oGV_27A	SN
SRR12212422	old	/home/margaret/Documents/mouse_oocyte_project/star/SRR12212422.Aligned.sortedByCoord.out.bam	SRR12212422	old	GSM4669716	SAMN15520641	SRX8723026	old	GSM4669716	germinal vesicle (GV) oocyte	germinal vesicle (GV)	GSM4669716	oGV_27	oGV_27	NSN
SRR12212423	old	/home/margaret/Documents/mouse_oocyte_project/star/SRR12212423.Aligned.sortedByCoord.out.bam	SRR12212423	old	GSM4669717	SAMN15520640	SRX8723027	old	GSM4669717	germinal vesicle (GV) oocyte	germinal vesicle (GV)	GSM4669717	oGV_28A	oGV_28A	SN
SRR12212424	old	/home/margaret/Documents/mouse_oocyte_project/star/SRR12212424.Aligned.sortedByCoord.out.bam	SRR12212424	old	GSM4669718	SAMN15520639	SRX8723028	old	GSM4669718	germinal vesicle (GV) oocyte	germinal vesicle (GV)	GSM4669718	oGV_28	oGV_28	NSN
SRR12212425	old	/home/margaret/Documents/mouse_oocyte_project/star/SRR12212425.Aligned.sortedByCoord.out.bam	SRR12212425	old	GSM4669719	SAMN15520638	SRX8723029	old	GSM4669719	germinal vesicle (GV) oocyte	germinal vesicle (GV)	GSM4669719	oGV_29A	oGV_29A	NSN
SRR12212426	old	/home/margaret/Documents/mouse_oocyte_project/star/SRR12212426.Aligned.sortedByCoord.out.bam	SRR12212426	old	GSM4669720	SAMN15520637	SRX8723030	old	GSM4669720	germinal vesicle (GV) oocyte	germinal vesicle (GV)	GSM4669720	oGV_29	oGV_29	NSN
SRR12212427	old	/home/margaret/Documents/mouse_oocyte_project/star/SRR12212427.Aligned.sortedByCoord.out.bam	SRR12212427	old	GSM4669721	SAMN15520636	SRX8723031	old	GSM4669721	germinal vesicle (GV) oocyte	germinal vesicle (GV)	GSM4669721	oGV_30A	oGV_30A	NSN
